Link do jogo,Nome do Jogo,Preço com desconto,Desconto aplicado,Avaliação do jogo,Data de Lançamento,Data de Fim da promoção
https://store.steampowered.com/app/872750/?curator_clanid=4777282&utm_source=SteamDB,Guard Duty,"R$ 4,13",-80%,83.24%,May 2019,
https://store.steampowered.com/app/1949190/?curator_clanid=4777282&utm_source=SteamDB,Necrosmith,"R$ 4,19",-60%,83.24%,Jul 2022,
https://store.steampowered.com/app/974910/?curator_clanid=4777282&utm_source=SteamDB,Magical Diary: Wolf Hall,"R$ 25,89",-65%,83.23%,Feb 2020,
https://store.steampowered.com/app/40720/?curator_clanid=4777282&utm_source=SteamDB,Samorost 2,"R$ 2,99",-80%,83.12%,Dec 2009,
https://store.steampowered.com/app/1819160/?curator_clanid=4777282&utm_source=SteamDB,Meteor World Actor: Badge & Dagger,"R$ 10,49",-70%,83.10%,Jun 2022,
https://store.steampowered.com/app/738650/?curator_clanid=4777282&utm_source=SteamDB,Seers Isle,"R$ 31,14",-30%,83.08%,Sep 2018,
https://store.steampowered.com/app/457680/?curator_clanid=4777282&utm_source=SteamDB,OPUS: The Day We Found Earth,"R$ 23,49",-50%,83.07%,Apr 2016,
https://store.steampowered.com/app/438480/?curator_clanid=4777282&utm_source=SteamDB,Rock 'N' Roll Defense,"R$ 1,74",-50%,83.05%,Aug 2016,
https://store.steampowered.com/app/210970/?curator_clanid=4777282&utm_source=SteamDB,The Witness,"R$ 21,89",-70%,83.02%,Jan 2016,
https://store.steampowered.com/app/1949010/?curator_clanid=4777282&utm_source=SteamDB,Room 301 NO.6,"R$ 5,21",-40%,82.95%,Sep 2022,
https://store.steampowered.com/app/449170/?curator_clanid=4777282&utm_source=SteamDB,Gnomes Garden 2,"R$ 12,79",-28%,82.95%,May 2016,—
https://store.steampowered.com/app/993790/?curator_clanid=4777282&utm_source=SteamDB,Ancient Enemy,"R$ 11,74",-75%,82.93%,Apr 2020,
https://store.steampowered.com/app/1072750/?curator_clanid=4777282&utm_source=SteamDB,That Flipping Mountain,"R$ 2,46",-83%,82.90%,Nov 2021,
https://store.steampowered.com/app/885150/?curator_clanid=4777282&utm_source=SteamDB,Capcom Beat 'Em Up Bundle,"R$ 19,99",-50%,82.89%,Oct 2018,
https://store.steampowered.com/app/1573280/?curator_clanid=4777282&utm_source=SteamDB,WW2 Rebuilder,"R$ 56,59",-47%,82.86%,Jan 2023,—
https://store.steampowered.com/app/2125420/?curator_clanid=4777282&utm_source=SteamDB,Zorbus,"R$ 14,34",-30%,82.86%,Sep 2022,
https://store.steampowered.com/app/1658290/?curator_clanid=4777282&utm_source=SteamDB,Eiyuden Chronicle: Rising,"R$ 17,99",-70%,82.82%,May 2022,
https://store.steampowered.com/app/1353270/?curator_clanid=4777282&utm_source=SteamDB,Five Dates,"R$ 24,90",-47%,82.80%,Nov 2020,
https://store.steampowered.com/app/774201/?curator_clanid=4777282&utm_source=SteamDB,Heaven's Vault,"R$ 14,24",-70%,82.77%,Apr 2019,
https://store.steampowered.com/app/363440/?curator_clanid=4777282&utm_source=SteamDB,Mega Man Legacy Collection,"R$ 19,96",-60%,82.77%,Aug 2015,
https://store.steampowered.com/app/1222680/?curator_clanid=4777282&utm_source=SteamDB,Need for Speed™ Heat,"R$ 41,85",-85%,82.73%,Nov 2019,
https://store.steampowered.com/app/644550/?curator_clanid=4777282&utm_source=SteamDB,篱笆庄秘闻 / Mysteries of Fence,"R$ 11,03",-20%,82.71%,Jul 2017,
https://store.steampowered.com/app/590590/?curator_clanid=4777282&utm_source=SteamDB,Remnants of Naezith,"R$ 8,24",-75%,82.70%,Feb 2018,
https://store.steampowered.com/app/269330/?curator_clanid=4777282&utm_source=SteamDB,Chronology,"R$ 2,09",-80%,82.66%,May 2014,
https://store.steampowered.com/app/515040/?curator_clanid=4777282&utm_source=SteamDB,Make America Great Again: The Trump Presidency,"R$ 5,86",-32%,82.66%,Sep 2016,—
https://store.steampowered.com/app/2130540/?curator_clanid=4777282&utm_source=SteamDB,目盲/Blind,"R$ 4,86",-25%,82.64%,Nov 2022,
https://store.steampowered.com/app/855630/?curator_clanid=4777282&utm_source=SteamDB,Zeliria Sanctuary,"R$ 10,34",-50%,82.63%,Jan 2019,
https://store.steampowered.com/app/2794610/?curator_clanid=4777282&utm_source=SteamDB,Massacre At The Mirage,"R$ 32,30",-20%,82.61%,Oct 2024,
https://store.steampowered.com/app/1540060/?curator_clanid=4777282&utm_source=SteamDB,Angry Putin,"R$ 2,06",-10%,82.61%,Feb 2021,
